id,assetCode,name,description,category,status,condition,parkId,parkName,location,purchaseDate,purchaseCost,currentValue,depreciationRate,manufacturer,model,serialNumber,maintenanceInterval,lastMaintenanceDate,nextMaintenanceDate,warrantyExpiry,age_days,maintenance_count,days_since_maintenance,failure_probability,createdAt,updatedAt
asset_0000,TOO-384539-366,Generic Brand Tool #1,Generic Brand industrial tool for manufacturing operations,tool,operational,poor,kilinto,Bole Lemi Industrial Park,"Building C, Floor 1",2023-09-24T00:23:31.979425,1765,1470.48,7.64,Generic Brand,Generic Brand-634,SN7659411,180,2025-10-21T00:23:31.979425,2026-04-19T00:23:31.979425,2025-09-23T00:23:31.979425,839,4,81,15.23,2023-09-24T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0001,UTI-218572-197,KSB Utility #2,KSB industrial utility for manufacturing operations,utility,operational,fair,hawassa-park,Kilinto Industrial Park,"Building A, Floor 1",2021-07-10T00:23:31.979425,86038,49859.82,11.41,KSB,KSB-597,SN2830693,90,2025-12-15T00:23:31.979425,2026-03-15T00:23:31.979425,2024-07-09T00:23:31.979425,1645,18,26,10.45,2021-07-10T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0002,MAC-881131-464,Schneider Electric Machinery #3,Schneider Electric industrial machinery for manufacturing operations,machinery,maintenance,excellent,bole-lemi,Hawassa Industrial Park,"Building C, Floor 1",2024-08-16T00:23:31.979425,280012,243865.9,9.39,Schneider Electric,Schneider Electric-233,SN2169306,90,2025-11-10T00:23:31.979425,2026-02-08T00:23:31.979425,2027-08-16T00:23:31.979425,512,5,61,5.14,2024-08-16T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0003,TOO-960561-956,Generic Brand Tool #4,Generic Brand industrial tool for manufacturing operations,tool,operational,fair,kombolcha,Kombolcha Industrial Park,"Building A, Floor 3",2023-10-03T00:23:31.979425,821,708.36,6.29,Generic Brand,Generic Brand-644,SN4786063,180,2025-09-27T00:23:31.979425,2026-03-26T00:23:31.979425,2024-10-02T00:23:31.979425,830,4,105,10.23,2023-10-03T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0004,FUR-956657-977,Generic Brand Furniture #5,Generic Brand industrial furniture for manufacturing operations,furniture,operational,fair,kombolcha,Hawassa Industrial Park,"Building B, Floor 2",2023-07-16T00:23:31.979425,2739,2249.77,7.6,Generic Brand,Generic Brand-291,SN9488466,180,2025-09-20T00:23:31.979425,2026-03-19T00:23:31.979425,2025-07-15T00:23:31.979425,909,5,112,10.25,2023-07-16T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0005,FUR-407728-710,Generic Brand Furniture #6,Generic Brand industrial furniture for manufacturing operations,furniture,operational,good,kombolcha,Hawassa Industrial Park,"Building B, Floor 2",2024-08-06T00:23:31.979425,4083,3628.48,7.93,Generic Brand,Generic Brand-547,SN7319926,180,2025-08-10T00:23:31.979425,2026-02-06T00:23:31.979425,2026-08-06T00:23:31.979425,522,2,153,7.14,2024-08-06T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0006,UTI-730143-720,Wilo Utility #7,Wilo industrial utility for manufacturing operations,utility,reserved,poor,kilinto,Bole Lemi Industrial Park,"Building C, Floor 3",2022-10-31T00:23:31.979425,74554,50759.92,11.34,Wilo,Wilo-530,SN3054428,90,2025-11-10T00:23:31.979425,2026-02-08T00:23:31.979425,2025-10-30T00:23:31.979425,1167,12,61,15.32,2022-10-31T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0007,FUR-959670-921,Generic Brand Furniture #8,Generic Brand industrial furniture for manufacturing operations,furniture,maintenance,poor,kilinto,Bole Lemi Industrial Park,"Building A, Floor 1",2021-07-29T00:23:31.979425,2796,1510.03,12.92,Generic Brand,Generic Brand-799,SN1038888,180,2025-12-09T00:23:31.979425,2026-06-07T00:23:31.979425,2024-07-28T00:23:31.979425,1626,9,32,15.45,2021-07-29T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0008,UTI-823648-567,Wilo Utility #9,Wilo industrial utility for manufacturing operations,utility,reserved,fair,hawassa-park,Kombolcha Industrial Park,"Building C, Floor 2",2024-11-13T00:23:31.979425,18424,16481.16,9.17,Wilo,Wilo-879,SN9810429,90,2025-12-09T00:23:31.979425,2026-03-09T00:23:31.979425,2026-11-13T00:23:31.979425,423,4,32,10.12,2024-11-13T00:23:31.979425,2026-01-10T00:23:31.979425
asset_0009,MAC-367678-686,Honeywell Machinery #10,Honeywell industrial machinery for manufacturing operations,machinery,operational,excellent,hawassa-park,Hawassa Industrial Park,"Building B, Floor 3",2024-11-24T00:23:31.979425,345558,292962.47,13.62,Honeywell,Honeywell-899,SN7426805,90,2025-12-02T00:23:31.979425,2026-03-02T00:23:31.979425,2025-11-24T00:23:31.979425,412,4,39,5.11,2024-11-24T00:23:31.979425,2026-01-10T00:23:31.979425
