tenant_id,company_name,industry,investment_usd,employee_count,land_needed_ha,power_requirement_kw,water_requirement_m3,export_oriented,preferred_region,budget_min_etb,budget_max_etb,chosen_park_id,chosen_park_name,match_score,placement_successful,satisfaction_rating,placement_date
TEN65302,Ethiopia Leather PLC,leather,5114226,75,2.35,53.2,10.6,False,Dire Dawa,41872.16526355279,114183.3239016215,bole_lemi,Bole Lemi Industrial Park,89.0,True,5.0,2024-01-22 16:12:18.942369
TEN54597,Axum Horticulture Manufacturing,horticulture,4198379,479,7.31,439.4,214.5,False,Amhara,35394.96955448699,116021.95717844281,kombolcha,Kombolcha Industrial Park,66.0,True,3.7,2025-01-22 16:12:18.942369
TEN57400,Abyssinia Food Processing Share Company,food_processing,1228977,926,13.04,1207.8,453.0,True,Dire Dawa,9944.450227103971,27380.35739115411,dire_dawa_ftz,Dire Dawa Free Trade Zone,100.0,True,5.0,2025-09-28 16:12:18.942369
TEN89840,African Manufacturing Corporation,manufacturing,8106962,334,6.7,349.8,82.9,True,Addis Ababa,76677.70248833031,175386.2180763319,bole_lemi_ii,Bole Lemi II Industrial Park,100.0,True,5.0,2024-06-18 16:12:18.942369
TEN18675,Abyssinia Medical Group,medical,5940561,751,11.8,1249.7,143.9,True,Oromia,57936.71868697221,137504.85146234086,kilinto,Kilinto Industrial Park,93.0,True,5.0,2024-09-27 16:12:18.942369
TEN62350,Harar Footwear Industries,footwear,3342608,1284,14.45,1723.2,263.3,False,any,33408.20224822559,71476.04797126133,bole_lemi,Bole Lemi Industrial Park,81.0,True,4.9,2025-08-06 16:12:18.942369
TEN11504,Blue Nile Pharmaceutical International,pharmaceutical,24833160,455,6.95,270.9,115.0,False,Dire Dawa,242609.46629641636,683129.8853770639,kilinto,Kilinto Industrial Park,89.0,True,4.7,2025-08-01 16:12:18.942369
TEN93748,Entoto Metal Group,metal,22675739,156,6.43,256.3,47.3,True,any,190426.82445563906,538302.5092984134,dire_dawa_ftz,Dire Dawa Free Trade Zone,85.0,False,3.3,2026-01-09 16:12:18.942369
TEN84364,Nile Agro Processing Share Company,agro_processing,826765,600,7.0,626.7,296.5,False,SNNPR,7824.351165303437,23281.89465113859,bole_lemi,Bole Lemi Industrial Park,59.0,False,1.6,2024-09-10 16:12:18.942369
TEN36365,Lalibela Horticulture Processing,horticulture,4946912,219,5.06,308.8,106.4,False,any,49421.12858851612,131087.13561873304,hawassa,Hawassa Industrial Park,66.0,True,3.4,2025-05-24 16:12:18.942369
TEN40007,Nile Apparel PLC,apparel,1352896,1584,18.99,1338.8,297.9,True,any,13149.162588923387,28016.5462523496,hawassa,Hawassa Industrial Park,100.0,True,5.0,2025-08-27 16:12:18.942369
TEN17100,Blue Nile Automotive PLC,automotive,36740676,647,10.6,508.3,89.8,False,Amhara,323510.56415284815,859475.5909077219,dire_dawa_ftz,Dire Dawa Free Trade Zone,74.0,True,4.2,2025-08-19 16:12:18.942369
TEN22833,Ethiopia Steel International,steel,23692848,525,7.83,951.2,68.3,False,any,236894.47926633508,671935.7049710638,arerti,Arerti Industrial Park,66.0,False,1.9,2024-11-19 16:12:18.942369
TEN47388,Bole Automotive Corporation,automotive,19344338,1135,15.74,2103.9,188.2,True,Amhara,180361.62874175733,481030.1228197849,dire_dawa_ftz,Dire Dawa Free Trade Zone,78.0,True,4.0,2024-07-03 16:12:18.942369
TEN20500,African Garment Share Company,garment,1959074,1484,15.57,1803.3,694.1,False,Dire Dawa,18004.027612266964,52409.3935823938,hawassa,Hawassa Industrial Park,89.0,True,5.0,2025-05-02 16:12:18.942369
TEN41285,Axum Garment Processing,garment,2375453,2736,29.75,3763.4,845.7,False,Oromia,19625.414415829026,62842.62785346761,hawassa,Hawassa Industrial Park,89.0,False,3.4,2025-12-31 16:12:18.942369
TEN19016,Sheba Metal Factory,metal,42781863,1422,19.2,867.3,263.4,True,any,366639.48705551686,1043100.7837112934,dire_dawa_ftz,Dire Dawa Free Trade Zone,85.0,True,5.0,2024-03-11 16:12:18.942369
TEN82512,Horn Electronics Textile Mill,electronics,9804682,58,2.43,86.7,27.6,True,Addis Ababa,83962.51728630067,216745.20785151847,addis_industrial_village,Addis Industrial Village (AIV),96.0,True,5.0,2024-08-10 16:12:18.942369
TEN93507,Axum Automotive Manufacturing,automotive,8409056,664,7.56,753.9,139.9,True,any,79738.55243445723,214572.23555355406,dire_dawa_ftz,Dire Dawa Free Trade Zone,85.0,True,4.3,2024-02-02 16:12:18.942369
TEN56898,Abyssinia Footwear International,footwear,1604451,2434,28.6,3343.7,387.6,True,Addis Ababa,13636.324479251922,33738.293290849186,bole_lemi_ii,Bole Lemi II Industrial Park,85.0,False,2.7,2024-04-14 16:12:18.942369
TEN53540,Bole Footwear International,footwear,3726327,1169,16.58,2006.2,529.1,True,any,36250.18623732714,104737.71068582694,bole_lemi,Bole Lemi Industrial Park,85.0,True,4.4,2025-12-01 16:12:18.942369
TEN96511,Abyssinia Automotive Processing,automotive,18393105,605,10.22,720.2,134.4,False,Addis Ababa,159220.3530717686,526843.4441982198,kilinto,Kilinto Industrial Park,66.0,True,3.8,2024-02-14 16:12:18.942369
TEN88193,Bole Horticulture Factory,horticulture,963060,389,4.91,760.7,66.7,False,Addis Ababa,9107.745212224389,22282.10074208628,bole_lemi,Bole Lemi Industrial Park,66.0,True,3.7,2024-05-29 16:12:18.942369
TEN97900,Abyssinia Chemical Factory,chemical,3489364,180,5.49,90.5,84.6,False,any,30924.819239090088,102896.9647186681,bole_lemi,Bole Lemi Industrial Park,66.0,False,1.8,2025-03-08 16:12:18.942369
